Category,Subcategory,Text
Violations,Violation,"WDS6008800 - Violation letter Dawn W/o James Hamby owner of 16152 166th Ave SE, Renton, WA, 98058 (425) 591-8763 regarding the violation letter she received, she stated that it sounds like A loud-VH muscle car, but he was not speeding. Her email is "
Other,Other,"PSD0203701 - Violation Kristen Neiman owner of 11706 24th St SE, Lake Stevens, WA 98258 called from (425) 367-9388, she wanted to report violation against a 
homeowner who has 8 vehicles, 2 inoperable, 1 parked between 2 vans with the plate number BDP4614, need to get it towed. "
Maintenance,Landscaping,"WDS4001700 - tree bugs Georgiana Lui owner of 16881 Woodside Dr SE, Renton, WA 98058, called from (206) 598-7521, wanted to get the tree bugs removed from the trees which is front of her house. 
Her email is "
Accounts Payable,Invoice,"Information regarding invoice Liza from Architectural Building Specialties called from (425) 315-8545, wanted to know the status of the invoice # 4716. "
Bidding,Pressure washing,Pressure washing & Tree pruning Louis from paradise landscaping called in to response to the message we sent him through website for pressure washing and tree pruning. 
Payment,ACH Setup,"Making a Payment on HOA account Jenny Lin, needs to setup ACH payment. Her email address is missjennylin@yahoo.com. "
Payment,Question,"Over Charged Allysa Hong at 16702 SE 165th way, Renton, WA 98058 Stated $90 was taken out of her account that shouldn't have. She needs a call back at "
HOA Demand Request,HOA Demand Request,"HOA Document Request Nicole from First american tittle wanted to get the HOA Document for Jesse Maddox owner of 11908 24th St SE, Lake Stevens, WA 98258. "
Payment,Question,"Payment Due Date Inquiry Sheryl Nelson at 1251 227th Ln. SE, Sammamish, WA recently set up a payment arrangement. She needs to know the due date and payment amount. Her email address is snelson6@hotmail.com. "
HOA Demand Request,Information,Completed repairs requested by HOA He received a letter from the HOA requesting that he repaint his trellis & garage door trip. He is calling to advise that he has completed this activity. 
Payment,Question,"HOA Payment Inquiry. Charles Russell at the address 16963 166th place s.e renton, wa 98058 needs to know if he can make hoa payment over the phone and also he is selling the home and needs more info regarding hoa and transferring. Email 
cbrettrussell@gmail.com "
Payment,ACH Setup,Ryan Schroeder HOA Payment Request Ryan Schroeder HOA payment requested. His HOA payment has already been paid. 
Information,Information Update,Website Access He is not able to access palominosammamish.propvivo.com. He would like access ASAP. 
Payment,ACH Setup,DMC Service Request  Done 
Maintenance,Gas,DMC: Gas DMC 
Payment,Onboarding Welcome Packet,DMC:  Serviec Request Onboarding Welcome Packet t For Payment 
Information,Rental Cap,DMC: Service Request for Rental Cap Rental Cap 
Website Access,Login Issues,DMC: Service Request for Website access Need activation code 
Documents,Other,DMC Request for coupon book. Please Send me  New Coupon Book For August. 
Maintenance,Landscaping,DMC: Maintenance landscaping There are overgrown grass outside my lawn and in need of maintenance as there are guest coming at my place 
Maintenance,Playground,Out wall paint I need my wall to be painted as it has generated few patches on outer wall 
Documents,Financials,DMC: Service Request for Document Documents 
Website Access,Registration / Access Code,Demo Homeowner Association SE 42nd PL Issaquah WA 98029 - Registered Incorrect Information Incorrect Info 
Documents,Financials,DMC: SR t 
Maintenance,Electricity,DMC: Test Description 
Maintenance,Extermination,DMC:  ants  There are ants outside my house at right side of the wall. it needs to taken care as soon as possible 
Website Access,Registration / Access Code,Demo Homeowner Association SE 42nd PL Issaquah WA 98029 - Registered Incorrect Information Incorrect Information 
Payment,Late Fees,DMC SR Crete Done 
Maintenance,Extermination,DMC: Service Request 04 Aug test 
Website Access,Login Issues,Login issue Not Able To Login Into Association Portal 
Website Access,Registration / Access Code,Demo Homeowner Association 21272 SE 42nd PL Issaquah WA 98029 - Registered Incorrect Information DMC: My information is Incorrect. 
Payment,Delinquency Letter,Payment Resolution Cynthia Rose at 16947  166th Place SE  Renton WA 98058. She called to resolve a payment issue.  She received correspondence stating she owed money that she doesn't believe is owed. 
Payment,Delinquency Letter,Delinquency Letter Scott Boone received a delinquency letter that does not match his records. Please call him at His email address is 
Maintenance,Plumbing,Urgent leak issue. Property damage is occurring There is a leak coming from a light fixture in the ceiling on the third floor. Property damage is occurring at his home and possibly to the units below. 
Payment,Question,HOA Fees Question Andrea Farred just recently purchased a condo and is trying to pay her first month of HOA fees. She has some questions about how to pay. 10110 Greenwood Ave. N  Unit 205 Seattle WA 98133 Email: 
Payment,Question,"Double Payment Michelle Knapton stated that a double payment was taken out of her account, she is at 5130 Browns Point Blvd #b "
Information,Other,"CRA0004900 - Vehicle broken into Hamdi Mohamed vehicle was broken into. She is a resident of 3 years and is surprised to find her car was broken into and wanted to let HOA know. Property address 12615 S.E 278 place Kent Wa, 98030 Lot 49. "
Payment,Question,SVT5135C00 - Double Billed for HOA Dues He states the charge for his HOA dues was debited from his account twice. 
Payment,Question,MOP0020100 - Payment questions James wanted to know that if we have received the check he sent for the month of October and if we have received the autopay form and the payment process date. 
Information,Other,"Wall-In Insurance Change re: Channel Place Community Club. Yushan purchased the unit 6 months ago and has questions about a change to the wall-in insurance to her unit; she also emailed Service about the possible insurance update. Yushan is trying to get refinanced on her unit and was informed by the underwriters that the HOA is no longer covering the wall-in insurance. She claims to not have been not notified by the HOA in any form that the insurance had changed and would like to confirm if there is a misunderstanding or if there was actually was a change. Please call. This is re: 12540 SE 32nd St, Unit 35, BELLEVUE, WA 98005. Her email is  and phone is "
